,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
149,737687,340071,HARNETT HEALTH SYSTEM,800 TILGHMAN DRIVE,DUNN,NC,28334,HARNETT,22180,1,1,9,10/01/2021,09/30/2022,941.11,719,27856,126,45990,389,5593,518,22362,389,5593,6788399,34887623,16078770,16083032,54993125,111267150,153963958,286397467,440361425,7010789,,54993125,10095701,328498,.1449,153699911,311699041,465398952,343743015,121655937,131531313,-9875376,4721757,-5153619,,-5153619,.242158
150,737688,340091,THE MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM ST,GREENSBORO,NC,27401-,GUILFORD,24660,2,1,2,10/01/2021,09/30/2022,5743.85,12489,212096,779,284335,2188,40018,10440,161359,2188,40018,48037514,120485597,87628470,87725125,493775314,1250733882,1766827674,2017928977,3784756651,96613058,,493775314,79108249,2715968,.1419,1887962190,2159003558,4046965748,2814790282,1232175466,1285095366,-52919900,30603133,-22316767,,-22316767,.325478
151,737689,340097,HUGH CHATHAM MEMORIAL HOSPITAL,100 PARKWOOD DRIVE,ELKIN,NC,28621-,SURRY,99934,2,1,2,10/01/2021,09/30/2022,667.88,497,13442,81,29565,151,3025,490,12659,151,3025,2266675,17291922,6910762,6910762,56509739,94452154,96091937,254154470,350246407,9199000,,56509739,3857161,94639,.0633,99928165,304450735,404378900,288736738,115642162,128041907,-12399745,-13743143,-26142888,,-26142888,.26068
152,737690,340188,CAPE FEAR VALLEY HOKE HOSPITAL,210 MEDICAL PAVILION DRIVE,RAEFORD,NC,28376,HOKE,22180,1,1,9,10/01/2021,09/30/2022,290.07,222,5447,41,14965,83,1733,187,4819,83,1733,2983552,12788711,6273665,6273665,20607276,54598893,44304638,199280384,243585022,3109877,,20607276,1888882,75750,.1048,47094806,211907260,259002066,187490605,71511461,57686995,13824466,4234410,18058876,,18058876,.209919
153,737691,341315,BLADEN COUNTY HOSPITAL,HIGHWAY 701,ELIZABETHTOWN,NC,28337,BLADEN,99934,2,1,9,10/01/2021,09/30/2022,166.17,381,5591,25,9125,19,592,63,2068,19,592,2009436,1997133,3035734,3151185,18426526,37171400,33252831,68239500,101492331,,,,,,,37572730,74573110,112145840,74391985,37753855,36972421,781434,3853418,4634852,,4634852,.359869
154,737692,342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,22180,1,2,9,10/01/2021,09/30/2022,265.81,2495,19189,66,24090,30,216,2463,16772,30,216,,,,,20159982,48494457,92808239,52789935,145598174,,,,,,,96867258,56100620,152967878,120829433,32138445,43044972,-10906527,229338,-10677189,,-10677189,
170,737816,342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,1,2,4,10/01/2021,09/30/2022,90.21,,9602,34,12410,,323,,9602,,323,,,,,7083435,17752536,53151032,15873,53166905,,,,,,,53166906,,53166906,38778251,14388655,19116647,-4727992,4212,-4723780,1,-4723781,
206,737909,340069,WAKEMED RALEIGH CAMPUS,3000 NEW BERN AVENUE,RALEIGH,NC,27620-4465,WAKE,39580,1,1,2,10/01/2021,09/30/2022,4485,18405,205112,609,222285,3142,36142,13436,132637,3142,36142,68577641,127849230,114156731,114156731,351462588,1142477126,2345193197,2318975543,4664168740,75108582,,351462588,84685582,3246063,.158,2345193197,2318975542,4664168739,3517375390,1146793349,1163256376,-16463027,73333,-16389694,,-16389694,.234633
207,737910,340142,CARTERET COUNTY GENERAL HOSPITAL COM,3500 ARENDELL STREET,MOREHEAD CITY,NC,28557-,CARTERET,99934,2,1,8,10/01/2021,09/30/2022,928.29,400,24998,99,36135,144,5806,342,20461,144,5806,170740,32098105,10600675,10600675,65562058,153820840,126232981,341826578,468059559,12126808,,65562058,11650940,,,135442095,360718487,496160582,308917022,187243560,175239451,12004109,-9981744,2022365,,2022365,.320452
208,737911,341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,924 HOWE STREET,SOUTHPORT,NC,28461-,BRUNSWICK,34820,2,1,11,10/01/2021,09/30/2022,315.8,11,2119,25,9125,5,561,11,1867,5,561,115214,8558349,2969874,2969874,20937079,49301679,8600311,135143921,143744232,,,,,,,10319039,149508734,159827773,102269505,57558268,55379265,2179003,6057955,8236958,,8236958,.326524
243,738010,340173,WAKE MED CARY HOSPITAL,1900 KILDARE FARM ROAD,CARY,NC,27518,WAKE,39580,1,1,2,10/01/2021,09/30/2022,1090,1444,61651,189,68985,307,13846,1202,49512,307,13846,10784227,29322495,21419395,21419395,85546265,325523870,591709254,696331892,1288041146,19130785,,85546265,31027160,,,591709255,696331892,1288041147,969895654,318145493,329750337,-11604844,,-11604844,,-11604844,.240885
283,738072,340002,MISSION HOSPITAL  INC,509 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,2,1,4,10/01/2021,09/30/2022,3392.69,17304,228342,733,267545,2563,42734,11241,154100,2563,42734,46315089,37230279,59516789,59516789,264700487,956949323,2754588438,2216541994,4971130432,50955478,,264494595,6258252,4093758,.126,2754588438,2253415960,5008004398,3708447763,1299556635,1202854597,96702038,59235326,155937364,,155937364,.190306
284,738073,340003,NORTHERN HOSP OF SURRY CO,830 ROCKFORD STREET,MOUNT AIRY,NC,27030,SURRY,99934,2,1,11,10/01/2021,09/30/2022,738.58,486,18069,100,36500,118,3805,349,14707,118,3805,918245,8512080,4684320,4805234,59780816,95418759,76592543,148302147,224894690,9658139,,59780816,4908499,28985,.0439,77555431,176978228,254533659,157435082,97098577,120902010,-23803433,10978890,-12824543,-200,-12824343,.41774
285,738076,340039,IREDELL MEMORIAL HOSPITAL,557 BROOKDALE DRIVE,STATESVILLE,NC,28677-,IREDELL,16740,1,1,2,10/01/2021,09/30/2022,1205.53,1498,36809,155,56575,307,7327,1302,31118,307,7327,563258,18704609,5092461,5092461,99201472,163383077,370540448,448765624,819306072,15980264,,99494704,6756634,459494,.0985,378352917,501322648,879675565,651716364,227959201,219486897,8472304,-1738579,6733725,,6733725,.193619
286,738077,340040,PITT COUNTY MEMORIAL HOSPITAL,2100 STANTONSBURG ROAD,GREENVILLE,NC,27834-2818,PITT,24780,1,1,2,10/01/2021,09/30/2022,,16943,239580,1013,369745,2602,41818,13683,188911,2602,41818,49791350,85867727,83243934,83243934,422526887,1225626133,2118634049,1350578051,3469212100,109948298,,422526887,45274024,7054352,.2185,2129543113,1339255068,3468798181,2090252465,1378545716,1419792764,-41247048,144778694,103531646,,103531646,.347478
287,738078,340042,ONSLOW MEMORIAL HOSPITAL,241 NEW RIVER DRIVE,JACKSONVILLE,NC,28540,ONSLOW,27340,2,1,9,10/01/2021,09/30/2022,847.2,1588,30961,162,59130,330,6496,1354,25787,330,6496,3330657,33291475,14090046,14093011,58151820,128201122,132588406,338307054,470895460,12828643,,58151820,2314226,385782,.12,129158406,341737055,470895461,315510788,155384673,147997316,7387357,3354574,10741931,1379567,9362364,.266742
288,738079,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON STREET,WHITEVILLE,NC,28472-,COLUMBUS,99934,2,1,8,10/01/2021,09/30/2022,506.8,979,19413,154,56210,189,3315,882,17149,189,3315,1059640,16433702,5630564,6776489,33453731,90397583,131479071,250220357,381699428,6654279,,33453731,6677983,401425,.1743,135183219,254276833,389460052,282449665,107010387,102905620,4104767,2917297,7022064,,7022064,.230029
289,738080,340099,VIDANT ROANOKE CHOWAN HOSPITAL,500 SOUTH ACADEMY STREET,AHOSKIE,NC,27910,HERTFORD,99934,2,1,2,10/01/2021,09/30/2022,409.07,865,14917,70,25550,182,2768,779,13033,182,2768,3105971,7754448,6725345,8012069,30697158,84839533,92708076,122437895,215145971,8312122,,30697158,7668309,243593,.12,92708076,122701908,215409984,126893946,88516038,99348149,-10832111,1060514,-9771597,,-9771597,.381707
290,738081,340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DRIVE,TARBORO,NC,27886,EDGECOMBE,40580,1,1,2,10/01/2021,09/30/2022,380.89,965,12976,117,42705,184,2568,742,10034,184,2568,4226421,8492835,7821883,7821883,27593581,78114932,91118542,151311644,242430186,7754663,292144,27593581,7811575,373648,.1997,91118543,151311462,242430005,151035874,91394131,95351003,-3956872,2413275,-1543597,,-1543597,.320215
291,738082,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,35 MEMORIAL DRIVE,PINEHURST,NC,28374-,MOORE,99934,2,1,2,10/01/2021,09/30/2022,3053.28,5042,103275,412,150380,1036,20522,3812,70851,1036,20522,10633964,69426798,29637606,29779675,279616486,569024001,1279319499,1800392196,3079711695,38766912,,246201318,24772687,1628308,.0923,1327542336,1863075032,3190617368,2376784999,813832369,742358337,71474032,-43800384,27673648,62118051,-34444403,.181288
292,738083,340120,DUPLIN GENERAL HOSPITAL,HIGHWAY 11  NORTH MAIN STREET,KENANSVILLE,NC,28349,DUPLIN,99934,2,1,2,10/01/2021,09/30/2022,329.5,792,11374,49,17885,502,2491,607,8624,502,2491,3887226,6843770,6908139,6908139,22481516,54777808,55208777,97557858,152766635,5465494,,22481516,3235328,176804,.12,55208777,97557857,152766634,91081215,61685419,62938711,-1253292,569797,-683495,,-683495,.349448
293,738084,340151,HALIFAX REGIONAL MEDICAL CENTER,250 SMITH CHURCH ROAD,ROANOKE RAPIDS,NC,27870-,HALIFAX,99934,2,1,2,10/01/2021,09/30/2022,519.89,1669,21298,100,36500,273,3656,1489,18707,273,3656,3168778,9020853,7236062,11193070,34219220,103804548,107201657,141728556,248930213,8949116,,34219220,6398265,305399,.12,107200625,141729523,248930148,162843886,86086262,110552001,-24465739,1428471,-23037268,,-23037268,.409853
294,738085,341303,FIRSTHEALTH MONTGOMERY MEMORIAL CAH,520 ALLEN STREET,TROY,NC,27371,MONTGOMERY,99934,2,1,2,10/01/2021,09/30/2022,113.83,45,2619,3,1095,14,334,45,1093,14,334,335270,3237677,1710985,1710985,9335377,17799465,13133445,62036551,75169996,,,,,,,13969316,62172505,76141821,57941368,18200453,16794995,1405458,113250,1518708,,1518708,.2283
295,738086,341304,BERTIE MEMORIAL HOSPITAL,1403 SOUTH KING STREET,WINDSOR,NC,27983,BERTIE,99934,2,1,9,10/01/2021,09/30/2022,107.92,25,1095,6,2190,7,282,25,1095,7,282,477758,3695577,2834610,3189862,8440359,22099186,4798292,37956117,42754409,,,,,,,5009279,37745130,42754409,23244847,19509562,20178303,-668741,831083,162342,,162342,.509674
296,738087,341318,CHOWAN HOSPITAL INC.,211 VIRGINIA AVENUE,EDENTON,NC,27932,CHOWAN,99934,2,1,2,10/01/2021,09/30/2022,259.75,502,6226,25,9125,97,1408,413,4383,97,1408,1261464,7193370,5301296,5301908,17631463,52537515,36832889,99402321,136235210,,,,,,,38254792,99401375,137656167,76122202,61533965,55149320,6384645,940703,7325348,,7325348,.380879
297,738088,341320,ALLEGHANY MEMORIAL HOSPITAL,233 DOCTORS STREET,SPARTA,NC,28675,ALLEGHANY,99934,2,1,2,10/01/2021,09/30/2022,76.33,,831,25,9125,,210,,800,,210,3053,1210610,585913,1164211,5702592,13497001,3292326,23205528,26497854,,,,,,,3313709,25433334,28747043,17721923,11025120,14517098,-3491978,531812,-2960166,,-2960166,.486009
298,738089,341322,ST LUKES HOSPITAL,220 HOSPITAL DRIVE,COLUMBUS,NC,28722-,POLK,99934,2,1,1,10/01/2021,09/30/2022,171.65,33,4436,25,9125,13,820,31,3126,13,820,1391177,3967369,2621411,3556419,17267825,39115306,22249990,102039405,124289395,,,,,,,23365435,119460214,142825649,92382205,50443444,51332949,-889505,1211888,322383,,322383,.308496
299,738090,341324,THE OUTER BANKS HOSPITAL,4800 S. CROATAN HWY,NAGS HEAD,NC,27959,DARE,99934,2,1,2,10/01/2021,09/30/2022,318.66,141,2961,21,7665,69,1060,136,2436,69,1060,695593,11381368,5889414,5892024,21190713,66261274,18296589,152407851,170704440,,,,,,,20993053,154500615,175493668,81795685,93697983,69131871,24566112,4784168,29350280,,29350280,.3743
496,738495,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607-,WATAUGA,99934,2,1,9,10/01/2021,09/30/2022,628.52,938,18796,95,34675,172,3784,645,13875,172,3784,1025151,14159567,5082719,5082719,52435712,154400890,144452491,386341884,530794375,10816828,,52435712,11685230,,,152976145,403305112,556281257,368991424,187289833,182818047,4471786,-5387646,-915860,,-915860,.28331
497,738497,341323,CHARLES A. CANNON MEMORIAL HOSPITAL,434 HOSPITAL DRIVE,LINVILLE,NC,28646-,AVERY,99934,2,1,2,10/01/2021,09/30/2022,128.6,37,1437,23,8395,12,305,37,1071,12,305,122550,2731989,1246206,1246206,9893556,21828051,8797514,43028333,51825847,,,,,,,9355185,45775326,55130511,34925548,20204963,24772138,-4567175,3462233,-1104942,-47,-1104895,.41652
498,738498,344034,DOROTHEA DIX BEHAVIORAL HEALTH,432 HOSPITAL DRIVE,LINVILLE,NC,28646,AVERY,99934,2,4,2,01/13/2022,09/30/2022,47.48,709,3954,37,9657,102,569,709,3954,102,569,,,,,2650029,7678768,8467668,30799,8498467,,,,,,,9738412,41205,9779617,6792019,2987598,8726643,-5739045,303623,-5435422,,-5435422,
523,738567,340116,FRYE REGIONAL MEDICAL CENTER,420 NORTH CENTER STREET,HICKORY,NC,28601,CATAWBA,25860,2,1,4,10/01/2021,09/30/2022,1006.55,1821,34725,226,82490,332,6511,1320,27904,332,6511,4025444,34124388,8743031,8743031,93108651,203423980,700185719,779842632,1480028351,10766447,,93108651,22141281,215043,.0392,700185717,859603430,1559789147,1298921411,260867736,274550623,-13682887,2602262,-11080625,,-11080625,.134697
758,739364,340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW RD,MOORESVILLE,NC,28117,IREDELL,16740,1,1,4,10/01/2021,09/30/2022,418.28,758,14666,123,44895,380,3917,251,9849,380,3917,3140443,13616224,4815878,4815878,31809374,103232640,270505159,573740828,844245987,6559951,,31809374,3532651,86303,.0348,270582077,573740828,844322905,709662435,134660470,102589179,32071291,-104713,31966578,,31966578,.116279
759,739365,340144,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSVILLE RD,STATESVILLE,NC,28625,IREDELL,16740,1,1,4,10/01/2021,09/30/2022,234.49,1114,10113,118,43070,33,644,501,8018,33,644,2519322,8620094,4158965,4158965,18555442,51888066,93590814,181569290,275160104,3890129,,18498597,4370345,131296,.2376,93590814,181569290,275160104,226222220,48937884,54980777,-6042893,2233183,-3809710,,-3809710,.184735
809,739665,340127,GRANVILLE MEDICAL CENTER,1010 COLLEGE STREET,OXFORD,NC,27565-,GRANVILLE,20500,1,1,9,10/01/2021,09/30/2022,412.46,410,6702,42,15330,104,1558,341,5348,104,1558,903029,18539835,5639142,5639904,37457345,66478993,54111096,207996962,262108058,5453086,604428,37457345,6199076,132386,.12,55612547,233624899,289237446,207733800,81503646,85890661,-4387015,9057852,4670837,,4670837,.244309
