,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
314,674155,341316,HIGHLANDS CASHIERS HOSPITAL,HIGHWAY 64E,HIGHLANDS,NC,28741,MACON,99934,2,1,4,02/01/2019,11/30/2019,121.49,74,2228,24,7272,10,210,74,550,10,210,894540,745505,1716159,1972019,6836130,15315143,3054125,24319054,27373179,,,6836130,,,,3054137,26742841,29796978,16513647,13283331,18947077,-5663746,158166,-5505580,,-5505580,.555754
327,674583,341329,BLUE RIDGE REGIONAL HOSPITAL,125 HOSPITAL DRIVE,SPRUCE PINE,NC,28777,MITCHELL,99934,2,1,4,02/01/2019,10/31/2019,154.54,257,3293,25,6825,82,1121,257,3079,82,1121,1232882,2545379,2825038,4898435,13476397,35659820,12077795,110235875,122313670,,,,,,,12120023,111458280,123578303,88864286,34714017,38754283,-4040266,337443,-3702823,,-3702823,.286886
385,676199,341319,TRANSYLVANIA COMMUNITY HOSPITAL,260 HOSPITAL DRIVE,BREVARD,NC,28712,TRANSYLVANIA,99934,2,1,4,02/01/2019,10/31/2019,226.84,238,4210,25,6825,82,1044,177,3346,82,1044,1627006,3757627,3963603,6144825,17010090,43840101,18549470,125561710,144111180,,,,,,,18549770,133508083,152057853,105413786,46644067,50891917,-4247850,932558,-3315292,,-3315292,.301599
388,676274,340190,NOVANT HEALTH MINT HILL MEDICAL CTR,8201 HEALTHCARE LOOP,CHARLOTTE,NC,28215-7072,,16740,1,1,2,10/01/2018,12/31/2018,86.52,71,1195,28,2576,34,357,52,936,34,357,106638,95553,159942,758319,7221706,19151289,9477059,23367418,32844477,1523013,,7221706,,,,9663957,23434898,33098855,26052236,7046619,18009053,-10962434,91949,-10870485,,-10870485,.55785
483,681414,344004,CENTRAL REGIONAL HOSPITAL,300 VEASEY RD.,BUTNER,NC,27509,GRANVILLE,99934,1,4,10,07/01/2019,06/30/2020,1862,9844,129391,338,123708,126,796,9844,129391,126,796,,,,,103334342,136652776,172759195,,172759195,,,103334342,,,,85586600,,85586600,,85586600,238436866,-152850266,154509928,1659662,,1659662,
484,681415,344026,CHERRY HOSPITAL,1401 WEST ASH STREET,GOLDSBORO,NC,27530,WAYNE,24140,1,4,10,07/01/2019,06/30/2020,1156,5902,82140,259,94140,105,704,5902,82140,105,704,,,,,69349713,112750694,112969115,,112969115,,,69353369,,,,7115246,,7115246,,7115246,51844036,-44728790,92786025,48057235,59516796,-11459561,
582,685370,340002,MISSION HOSPITAL  INC,506 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,2,1,2,10/01/2018,01/31/2019,5167.59,13659,66715,665,81795,2625,11412,6987,44032,2625,11412,8357005,52009172,27147186,27147186,108954561,325722343,685721222,658384069,1344105291,17749719,,108954561,5341667,1587551,.1288,685721219,662384068,1348105287,912101114,436004173,437644329,-1640156,37991196,36351040,,36351040,.239709
629,685649,343027,NOVANT HEALTH REHABILITATION HOSPITA,2475 HILLCREST CENTER CIRCLE,WINSTON SALEM,NC,27103,FORSYTH,49180,1,5,4,10/31/2018,09/30/2019,120.13,710,12571,68,22780,53,970,710,12571,53,970,,,,,8459677,16349263,27437467,1630,27439097,,,8459677,,,,27439097,,27439097,11432082,16007015,16638448,-631433,23511,-607922,,-607922,
651,685776,341305,SWAIN COUNTY HOSPITAL,45 PLATEAU STREET,BRYSON CITY,NC,28713-,SWAIN,99934,2,1,4,08/01/2019,07/31/2020,84.02,189,3705,24,8784,12,128,38,356,12,128,1205774,3860850,2845175,3638469,6638307,13395831,5941473,25114738,31056211,,,,,,,5941472,26579024,32520496,18482425,14038071,16022714,-1984643,1395555,-589088,,-589088,.430026
671,686259,344027,RJ BLACKLEY ADATC,RJ BLACKLEY,BUTNER,NC,27509,GRANVILLE,99934,1,4,10,07/01/2019,06/30/2020,,2431,12988,80,29280,226,1193,2431,12988,226,1193,,,,,8871541,16183003,12021098,,12021098,,,8871541,,,,11733574,,11733574,,11733574,17545065,-5811491,5811491,,,,
672,686260,344033,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,24780,1,4,10,07/01/2019,06/30/2020,140,682,11815,52,19032,75,1071,682,11815,75,1071,,,,,10024623,18458995,10816214,,10816214,,,10024623,,,,219401,,219401,,219401,6300996,-6081595,6922909,841314,,841314,
680,686386,344023,JULIAN F KEITH - ADATC,201 TABERNACLE ROAD,BLACK MOUNTAIN,NC,28711,BUNCOMBE,11700,1,4,10,07/01/2019,06/30/2020,197,2345,20005,80,29280,194,1712,2345,20005,194,1712,,,,,10967901,20257511,18107187,,18107187,3865596,,10967901,,,,14077514,,14077514,,14077514,20107743,-6030229,6030230,1,,1,
874,690153,341315,BLADEN COUNTY HOSPITAL,HIGHWAY 701,ELIZABETHTOWN,NC,28337,BLADEN,99934,2,1,9,10/01/2018,09/30/2019,313.23,149,3145,25,9125,54,581,140,1540,54,581,251687,1296555,934732,1181761,15801583,31951316,22473067,64358595,86831662,,,,,,,22763753,67972351,90736104,66760554,23975550,30889947,-6914397,1825265,-5089132,2,-5089134,.360152
976,693256,344007,OLD VINEYARD,3637 OLD VINEYARD ROAD,WINSTON SALEM,NC,27004,FORSYTH,49180,1,4,4,01/01/2019,12/31/2019,273.88,1088,53440,164,59860,123,6367,1088,53440,123,6367,,,,,15840305,25505573,85480000,2393400,87873400,,,,,,,85480000,2393400,87873400,51507565,36365835,29264591,7101244,240073,7341317,,7341317,
1058,694943,341326,MH ANGEL MEDICAL CENTER LLLP,120 RIVERVIEW STREET,FRANKLIN,NC,28744,MACON,99934,2,1,4,02/01/2019,10/31/2019,221.67,188,4004,25,6825,111,1189,163,2080,111,1189,1555934,2924966,3933680,4866485,14971286,41513379,20406576,140700340,161106916,,,,,,,20631576,140475340,161106916,117731752,43375164,50154044,-6778880,518788,-6260092,,-6260092,.255171
1114,697737,342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,,11700,1,2,4,02/01/2019,09/30/2019,99.83,,6110,34,8228,,189,,6110,,189,,,,,4727893,10090220,24205568,,24205568,,,,,,,24205569,,24205569,14824429,9381140,9496919,-115779,11603,-104176,,-104176,
1122,697835,341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,924 HOWE STREET,SOUTHPORT,NC,28461-,BRUNSWICK,34820,2,1,11,10/01/2018,09/30/2019,223.4,67,2160,25,9125,21,756,67,1894,21,756,191463,6701381,2478374,2635407,16701347,37880617,15503139,94850249,110353388,,,,,,,17918220,105588616,123506836,86297447,37209389,42773475,-5564086,5175861,-388225,,-388225,.331319
1128,697937,342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,22180,1,2,9,10/01/2018,09/30/2019,470.98,4587,19978,66,24090,56,278,4486,17901,56,278,,,,,19179939,45605785,110779648,54751829,165531477,,,,,,,114623060,59377807,174000867,179851389,-5850522,38204029,-44054551,314626,-43739925,,-43739925,
1295,700231,344014,HOLLY HILLS HOSPITAL,3019 FALSTAFF ROAD,RALEIGH,NC,27610,WAKE,39580,1,4,4,01/01/2019,12/31/2019,438.29,1170,84742,285,93195,119,9551,1170,84742,119,9551,,,,,21672194,35853811,135927805,7167536,143095341,,,,,,,135927805,7167536,143095341,83026439,60068902,41867953,18200949,276405,18477354,,18477354,
1322,700438,340173,WAKE MED CARY HOSPITAL,1900 KILDARE FARM ROAD,CARY,NC,27518,WAKE,39580,1,1,2,10/01/2018,09/30/2019,1064,3349,55325,196,71540,1073,12844,2177,45201,1073,12844,1035483,41586158,10696358,16063023,72896203,219118295,520665391,598690354,1119355745,16477412,,74714784,3610962,,,520665389,598690350,1119355739,852843505,266512234,227397499,39114735,4764439,43879174,,43879174,.187869
1365,700866,340148,MEDICAL PARK HOSPITAL,1900 SOUTH HAWTHORNE ROAD,WINSTON-SALEM,NC,27114-4728,,49180,1,1,2,01/01/2019,12/31/2019,194.58,129,2543,22,8030,36,839,129,2543,36,839,924543,3401071,1932493,3618061,14397713,55862476,33967960,157111510,191079470,3976317,,14687911,37411,,,33967101,157139930,191107031,108078644,83028387,64126522,18901865,121387,19023252,,19023252,.282243
1393,701131,340190,NOVANT HEALTH MINT HILL MEDICAL CTR,8201 HEALTHCARE LOOP,CHARLOTTE,NC,28215-7072,,16740,1,1,2,01/01/2019,12/31/2019,275.48,1118,7919,28,10220,455,2200,697,6125,455,2200,2701383,5143645,3944430,5070459,21049069,56079220,62314247,164376148,226690395,5045536,,21246691,360567,,,62773298,165045173,227818471,162393772,65424699,63868894,1555805,752297,2308102,,2308102,.23807
1417,701321,340037,ATRIUM HEALTH KINGS MOUNTAIN,706 WEST KING STREET,KINGS MOUNTAIN,NC,28086,CLEVELAND,99934,2,1,11,01/01/2019,08/01/2019,127.6,246,4217,51,10863,73,1002,246,4217,73,1002,3301695,6551347,4598356,6446593,8841287,24048364,30318650,98309465,128628115,2217195,,8841287,46525,32367,.079,31290882,97346008,128636890,105263864,23373026,23197646,175380,264976,440356,,440356,.183222
1418,701336,340187,DAVIE MEDICAL CENTER,329 NC HIGHWAY 801 N,BERMUDA RUN,NC,27006-7905,DAVIE,49180,1,1,2,07/01/2019,06/30/2020,345.51,196,4767,50,18300,64,1965,196,4767,64,1965,1461481,5629058,2638193,3062497,16349984,61776360,100165110,217830266,317995376,4032089,,21308995,194623,,,100794604,217334262,318128866,241487376,76641490,63644405,12997085,2772422,15769507,,15769507,.190265
1805,705205,340133,MARTIN GENERAL HOSPITAL,310 SOUTH MCCASKEY RD,WILLIAMSTON,NC,27892,MARTIN,99934,2,1,4,05/01/2019,04/30/2020,160.93,812,4909,43,15738,272,1069,428,3503,272,1069,825638,9302517,2117440,2117440,10104218,23585918,64920966,110568095,175489061,2280910,,10104218,915134,119135,.1374,67782290,110568095,178350385,154308042,24042343,26601933,-2559590,329856,-2229734,,-2229734,.131543
1834,705292,341328,MURPHY MEDICAL CENTER,3990 E US HIGHWAY 64 ALT,MURPHY,NC,28906-,CHEROKEE,99934,2,1,2,07/01/2019,06/30/2020,368.77,573,5122,25,9150,179,1473,451,4474,179,1473,2213345,9551085,5285258,5285258,31093429,54302969,29623570,137059793,166683363,,,,,,,111699163,56853760,168552923,115853039,52699884,61231920,-8532036,9349955,817919,,817919,.32075
1852,705368,340091,THE MOSES H. CONE MEMORIAL HOSPITAL,1200 NORTH ELM ST,GREENSBORO,NC,27401-,GUILFORD,24660,2,1,2,10/01/2018,09/30/2019,5569.39,39628,201563,724,264260,10180,44883,22453,149095,10180,44883,48464083,128794965,90076965,94157646,400434661,1050553566,1525587551,1688383201,3213970752,104043638,,397734500,541504,4048740,.1624,1618380162,1791095584,3409475746,2094381750,1315093996,1012477550,302616446,20433462,323049908,,323049908,.320985
1853,705369,340096,LEXINGTON MEMORIAL HOSPITAL  INC.,250 HOSPITAL DRIVE,LEXINGTON,NC,27292-,DAVIDSON,49180,1,1,2,07/01/2019,06/30/2020,579.62,1825,12315,70,25620,648,3476,1205,9031,648,3476,5299150,13018224,8416250,8416250,28615698,95108167,104071904,304596987,408668891,8756065,,35395948,967157,146547,.0963,104560598,298407262,402967860,303642591,99325269,99459523,-134254,10595950,10461696,-272742,10734438,.22868
1854,705370,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,35 MEMORIAL DRIVE,PINEHURST,NC,28374-,MOORE,99934,2,1,2,10/01/2018,09/30/2019,3011,14081,104277,412,150380,4144,24349,8527,72862,4144,24349,7496943,116016972,36541173,41943953,214206662,469632330,1150720393,1219566208,2370286601,34386381,,197385790,8827436,2083772,.0848,1194583603,1253161789,2447745392,1740121329,707624063,623201939,84422124,32950801,117372925,51455714,65917211,.195384
1855,705372,340131,CAROLINAEAST MEDICAL CENTER,2000 NEUSE BOULEVARD,NEW BERN,NC,28561,CRAVEN,35100,1,1,9,10/01/2018,09/30/2019,2224.68,6258,67149,287,104755,1496,13714,3969,39616,1496,13714,9847510,41909571,20098602,21739820,161296613,250148515,490239111,554170511,1044409622,26125493,,161296613,612574,1005716,.0652,724106238,566205221,1290311459,870069465,420241994,421221506,-979512,16326266,15346754,1722550,13624204,.236545
1856,705374,340168,WILMINGTON TREATMENT CENTER INC,2520 TROY DRIVE,WILMINGTON,NC,28401,NEW HANOVER,48900,1,1,4,01/01/2019,12/31/2019,188.06,,18413,92,33580,,1072,,18413,,1072,3018,2504012,1251675,1251675,8834916,16718814,23073700,36195190,59268890,1745713,,8834916,,18945,.0252,24281326,36195191,60476517,34613312,25863205,19423521,6439684,989,6440673,-7,6440680,.282084
1882,705461,340014,FORSYTH MEMORIAL HOSPITAL  INC,3333 SILAS CREEK PARKWAY,WINSTON SALEM,NC,27103,FORSYTH,49180,1,1,2,01/01/2019,12/31/2019,5831.8,37722,241269,901,328865,8185,41904,21638,192163,8185,41904,36267903,64570609,54674192,72048372,467594612,1098087674,1865427936,1964595673,3830023609,103360386,,467057503,11897839,2036322,.0987,1873128594,2139181255,4012309849,2575699112,1436610737,1358736367,77874370,14971327,92845697,-2997,92848694,.280908
1883,705462,340015,ROWAN REGIONAL HOSPITAL,612 MOCKSVILLE AVENUE,SALISBURY,NC,28144,ROWAN,16740,1,1,2,01/01/2019,12/31/2019,943.26,5760,42114,169,61685,1692,9625,4019,36945,1692,9625,10275898,18207043,14914500,15709608,70015123,185295560,350121500,485137175,835258675,17000588,,70078968,2418102,590994,.1094,354959696,493676656,848636352,629031757,219604595,223880663,-4276068,1863653,-2412415,-1652494,-759921,.215436
1884,705468,340075,BLUE RIDGE HEALTHCARE HOSPITALS,2201 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,1,1,2,01/01/2019,12/31/2019,1303.13,5192,27353,156,56940,1662,6574,3197,22760,1662,6574,7392096,32531544,12384504,12521843,81558291,144089952,271658738,690327319,961986057,12859403,,80474616,729110,589819,.1675,289857292,707905959,997763251,778502010,219261241,205945334,13315907,50392694,63708601,,63708601,.144949
1885,705469,340085,THOMASVILLE MEDICAL CENTER,207 OLD LEXINGTON ROAD,THOMASVILLE,NC,27360,DAVIDSON,49180,1,1,2,01/01/2019,12/31/2019,449.87,3162,14074,74,27010,1222,3697,1863,10045,1222,3697,6087690,12760133,9076158,9076158,32853995,79622280,130869934,207281907,338151841,8076185,,32974531,695901,162136,.12,130990027,207878412,338868439,236960022,101908417,92034719,9873698,1352350,11226048,,11226048,.228738
1886,705472,340123,RANDOLPH HOSPITAL,373 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27204-,RANDOLPH,24660,1,1,2,10/01/2018,09/30/2019,661.51,3276,14511,145,52925,1427,5384,2131,11450,1427,5384,4761601,17775311,9842903,9894353,38818442,94299782,97645835,221967681,319613516,9277889,,38818442,,238367,.1252,97887402,223783105,321670507,219653650,102016857,104396984,-2380127,2903937,523810,,523810,.283259
1887,705474,340158,BRUNSWICK COMMUNITY HOSPITAL,240 HOSPITAL DRIVE NE,BOLIVIA,NC,28422,BRUNSWICK,34820,2,1,2,01/01/2019,12/31/2019,444.4,2590,15041,58,21170,1100,4161,1559,10235,1100,4161,6026740,8091521,7664532,7664532,30904954,84182876,141631701,285540075,427171776,7972822,,31164904,458304,341349,.1093,143535549,290230689,433766238,329762132,104004106,99258611,4745495,636106,5381601,,5381601,.185767
1888,705475,340188,CAPE FEAR VALLEY HOKE HOSPITAL,210 MEDICAL PAVILION DRIVE,RAEFORD,NC,28376,HOKE,22180,1,1,9,10/01/2018,09/30/2019,293.01,533,4094,41,14965,167,1491,511,3887,167,1491,538755,6933600,2612314,4857612,17481265,40364734,28211174,138800146,167011320,1946401,,17481265,929115,90700,.12,30399741,144605794,175005535,134812100,40193435,41137557,-944122,2556227,1612105,,1612105,.229456
1947,705640,340061,UNIVERSITY OF NORTH CAROLINA HOSP.,101 MANNING DRIVE,CHAPEL HILL,NC,27514,ORANGE,20500,1,1,13,07/01/2019,06/30/2020,8600.95,70050,243573,812,293474,10637,34351,56181,197503,10637,34351,62030655,83916734,101668272,104319625,601720616,1833282174,2370609155,3188479227,5559088382,161801703,,597226638,5028711,5191079,.221,2370607109,2989172336,5359779445,3296899201,2062880244,2009009006,53871238,103478983,157350221,92951166,64399055,.327148
