,RPT_REC_NUM,Provider CCN,Hospital Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Provider Type,Type of Control,Fiscal Year Begin Date,Fiscal Year End Date,FTE-Employees  on Payroll,Total Days Title XIX,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges Title XIX,Total Discharges (V + XVIII + XIX + Unknown),"Hospital Total Days Title XIX for
Adults & Peds",Hospital Total Days (V + XVIII + XIX + Unknown) for Adults & Peds,"Hospital Total Discharges Title XIX for
Adults & Peds",Hospital Total Discharges (V + XVIII + XIX + Unknown) for Adult,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated  Care,"Total Unreimbursed  and
Uncompensated  Care",Total Salaries From Worksheet A,Total Costs,Inpatient Total Charges,Outpatient Total Charges,"Combined Outpatient + Inpatient
Total Charges",Wage-related  Costs (core),Wage-related  costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Disproportionate Share Adjustment,Allowable DSH Percentage,Inpatient Revenue,Outpatient Revenue,Gross Revenue,"Less Contractual Allowance and
Discounts on Patients' Accounts",Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio
362,695249,343026,CAROLINAS REHABILITATION,1100 BLYTHE BLVD,CHARLOTTE,NC,28203-,MECKLENBURG,16740,1,5,11,01/01/2020,12/31/2020,566.47,6141,40618,150,54900,330,2561,6141,40618,330,2561,,,,,40391187,88624355,210775167,55533415,266308582,,,,,,,210861308,56361145,267222453,176383489,90838964,92780566,-1941602,6305434,4363832,2252284,2111548,
648,705206,344016,BRYNN MARR HOSPITAL,192 VILLAGE DRIVE,JACKSONVILLE,NC,28546,ONSLOW,27340,1,4,4,07/01/2020,06/30/2021,155.15,1057,24239,84,30744,78,1841,1057,24239,78,1841,,,,,8585695,13647279,47482330,,47482330,,,,,,,47482330,,47482330,27904506,19577824,17031461,2546363,375093,2921456,,2921456,
663,705477,344026,CHERRY HOSPITAL,1401 WEST ASH STREET,GOLDSBORO,NC,27530,WAYNE,24140,1,4,10,07/01/2020,06/30/2021,1139,6557,70770,314,114610,92,486,6557,70770,92,486,,,,,77869929,119015902,119015902,,119015902,,,,,,,5673125,,5673125,,5673125,58843668,-53170543,93224008,40053465,57209627,-17156162,
672,705643,341328,MURPHY MEDICAL CENTER,3990 E US HIGHWAY 64 ALT,MURPHY,NC,28906-,CHEROKEE,99934,2,1,2,07/01/2020,06/30/2021,298,558,4810,25,9125,110,1300,430,4364,110,1300,1702719,8054105,4232086,4232086,29598597,50624551,25780930,131940768,157721698,,,,,,,27185103,132700400,159885503,108097901,51787602,55632706,-3845104,7222383,3377279,,3377279,.313
687,705872,341311,CHATHAM HOSPITAL  INC,475 PROGRESS BLVD,SILER CITY,NC,27344,CHATHAM,20500,2,1,2,07/01/2020,06/30/2021,178,546,5349,25,9125,261,697,372,2049,261,697,1050841,5736850,3181651,3736146,9865781,26757407,21317867,64822871,86140738,,,,,,,22885868,77021306,99907174,60298167,39609007,43383522,-3774515,2419513,-1355002,4132812,-5487814,.304864
1112,709862,341305,SWAIN COUNTY HOSPITAL,45 PLATEAU STREET,BRYSON CITY,NC,28713-,SWAIN,99934,2,1,4,08/01/2020,07/31/2021,88.16,299,3689,24,8760,6,68,35,150,6,68,1064627,4449174,2863436,3642160,6221965,13202157,5940408,27584178,33524586,,,,,,,5940407,28670387,34610794,19622064,14988730,15573619,-584889,-58583,-643472,,-643472,.393012
1117,709913,344004,CENTRAL REGIONAL HOSPITAL,300 VEASEY RD.,BUTNER,NC,27509,GRANVILLE,99934,1,4,10,07/01/2020,06/30/2021,1862,6055,114716,338,123370,67,741,6055,114716,67,741,,,,,108455210,103992933,166866038,,166866038,,,,,,,78732426,,78732426,,78732426,242376841,-163644415,163346873,-297542,,-297542,
1118,709914,344023,JULIAN F KEITH - ADATC,201 TABERNACLE ROAD,BLACK MOUNTAIN,NC,28711,BUNCOMBE,11700,1,4,10,07/01/2020,06/30/2021,197,2790,16315,80,29200,1458,1815,2790,16315,1458,1815,,,,,12166610,20911774,16905051,,16905051,4135120,,12166610,,,,15756981,,15756981,,15756981,20930064,-5173083,5173082,-1,,-1,
1119,709915,344027,RJ BLACKLEY ADATC,RJ BLACKLEY,BUTNER,NC,27509,GRANVILLE,99934,1,4,10,07/01/2020,06/30/2021,152,2427,10646,80,29200,221,1033,2427,10646,221,1033,,,,,9837386,18609266,10931285,,10931285,,,,,,,11590884,,11590884,,11590884,19475340,-7884456,7884455,-1,,-1,
1120,709917,344033,WALTER B JONES LAKESIDE,2577 WEST FIFTH STREET,GREENVILLE,NC,27834,PITT,24780,1,4,10,07/01/2020,06/30/2021,126,715,12179,51,18615,68,952,715,12179,68,952,,,,,10660629,21669243,21646671,,21646671,,,,,,,404856,,404856,,404856,10522964,-10118108,9152286,-965822,,-965822,
1122,709980,344025,BROUGHTON HOSPITAL,1000 SOUTH STERLING STREET,MORGANTON,NC,28655,BURKE,25860,1,4,10,07/01/2020,06/30/2021,1438,4680,81031,382,139430,14,251,4680,81031,14,251,,,,,76766409,115776549,128458158,,128458158,29767263,,76766409,,,,72234604,,72234604,,72234604,180457792,-108223188,108223189,1,,1,
1182,710561,343027,NOVANT HEALTH REHABILITATION HOSPITA,2475 HILLCREST CENTER CIRCLE,WINSTON SALEM,NC,27103,FORSYTH,49180,1,5,4,10/01/2019,09/30/2020,152.42,1076,17627,68,24888,86,1284,1076,17627,86,1284,,,,,11432075,20770752,40676498,1275,40677773,1652854,,11432075,829,,,40677774,,40677774,16048603,24629171,21262148,3367023,24605,3391628,,3391628,
1328,711566,342013,PAM SPECIALTY HOSP. OF ROCKY MOUNT,1051 NOELL LANE,ROCKY MOUNT,NC,27804,NASH,40580,1,2,4,09/01/2020,08/31/2021,136.89,,14313,50,18250,,525,,14313,,525,,,,,8495690,22289428,128128711,,128128711,,,,,,,128128711,,128128711,101572920,26555791,23019032,3536759,1317454,4854213,1,4854212,
1392,712086,342012,KINDRED HOSPITAL GREENSBORO,2401 SOUTHSIDE BOULEVARD,GREENSBORO,NC,27406,GUILFORD,24660,1,2,4,09/01/2020,08/31/2021,159.3,42,17570,101,36865,2,267,42,15993,2,267,,,,,14305129,31555473,115105785,1313119,116418904,1658865,,14305129,2428436,,,115105785,1313119,116418904,74906123,41512781,32871098,8641683,157775,8799458,,8799458,
1645,717320,341307,PENDER MEMORIAL HOSPITAL,507 E. FREMONT ST,BURGAW,NC,28425-,PENDER,48900,1,1,9,10/01/2019,09/30/2020,132.25,68,4145,25,9150,23,254,68,807,23,254,343248,5731804,2731363,3366805,8386996,26451632,12540331,61275428,73815759,,,,,,,12487108,61775021,74262129,51317016,22945113,30142999,-7197886,7094255,-103631,-217275,113644,.356954
1781,723096,341327,J ARTHUR DOSHER MEMORIAL HOSPITAL,924 HOWE STREET,SOUTHPORT,NC,28461-,BRUNSWICK,34820,2,1,11,10/01/2019,09/30/2020,217.15,50,1746,25,9150,21,688,50,1519,21,688,172304,8670015,3367866,3608603,17436166,39916285,13940277,93252154,107192431,,,,,,,15987003,104117103,120104106,84183629,35920477,44335855,-8415378,7119899,-1295479,,-1295479,.359464
1787,723156,342017,ASHEVILLE SPECIALTY HOSPITAL  LLC,428 BILTMORE AVENUE,ASHEVILLE,NC,28801,BUNCOMBE,11700,1,2,4,10/01/2019,09/30/2020,89.06,,8513,34,12444,,288,,8513,,288,,,,,6413042,14927338,44406466,6281,44412747,,,,,,,44406473,6281,44412754,29888252,14524502,14013508,510994,30678,541672,,541672,
1904,725982,341314,CAH #1 - WASHINGTON,958 US HIGHWAY 64 EAST,PLYMOUTH,NC,27962,WASHINGTON,99934,2,1,4,10/01/2019,09/30/2020,50,106,2059,25,9150,20,440,106,1273,20,440,,,,1197766,5929287,11361663,7281164,7434736,14715900,,,,,,,7281164,7434735,14715899,3416638,11299261,11463213,-163952,1005070,841118,,841118,.746141
1959,726510,342014,HIGHSMITH RAINEY MEMORIAL HOSPITAL,150 ROBESON STREET,FAYETTEVILLE,NC,28301,CUMBERLAND,22180,1,2,9,10/01/2019,09/30/2020,280.14,7208,22658,66,24156,93,307,7093,20521,93,307,,,,,18944841,45802895,113109924,53301971,166411895,,,,,,,116162408,57405101,173567509,151742244,21825265,38701978,-16876713,248546,-16628167,,-16628167,
1986,726704,340148,MEDICAL PARK HOSPITAL,1900 SOUTH HAWTHORNE ROAD,WINSTON-SALEM,NC,27114-4728,,49180,1,1,2,01/01/2020,12/31/2020,220.95,167,2980,22,8052,41,937,167,2980,41,937,1047583,2981885,3190934,4487633,18171482,60934099,41180142,170957741,212137883,4322710,,18394505,28192,,,42746319,177866547,220612866,127938173,92674693,60702663,31972030,1769076,33741106,,33741106,.277573
2103,727437,340069,WAKEMED RALEIGH CAMPUS,3000 NEW BERN AVENUE,RALEIGH,NC,27620-4465,WAKE,39580,1,1,2,10/01/2019,09/30/2020,4531,46540,177430,586,207681,9861,32799,25062,123306,9861,32799,62039467,111012975,86367166,86367166,323581329,865451304,2057405515,1810794467,3868199982,73228669,,337553337,19663844,3616848,.1868,2057405515,1810794467,3868199982,2912881831,955318151,894379300,60938851,15814237,76753088,,76753088,.215008
2133,727702,340171,PRESBYTERIAN HOSPITAL MATTHEWS,1500 MATTHEWS TOWNSHIP PARKWAY,MATTHEWS,NC,28105,MECKLENBURG,16740,1,1,2,01/01/2020,12/31/2020,822.52,4631,43284,123,45018,1671,10109,2479,34707,1671,10109,7145441,16550913,10607044,10607044,61084128,171890138,413160692,432423152,845583844,15499837,,61287586,951370,200337,.0351,417439703,437076757,854516460,599400066,255116394,176879469,78236925,11272188,89509113,,89509113,.195655
2134,727703,340183,PRESBYTERIAN HOSPITAL HUNTERSVILLE,10030 GILEAD ROAD,HUNTERSVILLE,NC,28078,MECKLENBURG,16740,1,1,2,01/01/2020,12/31/2020,717.82,3675,29747,127,46482,1224,8816,2027,20879,1224,8816,5047476,15120399,8105654,9623699,53778318,152026855,291180040,448661222,739841262,11819762,,53943864,1029267,169909,.0412,294580896,453952313,748533209,511705189,236828020,181706614,55121406,4919719,60041125,,60041125,.19596
2159,727902,340096,LEXINGTON MEMORIAL HOSPITAL  INC.,250 HOSPITAL DRIVE,LEXINGTON,NC,27292-,DAVIDSON,49180,1,1,2,07/01/2020,06/30/2021,576.91,1416,12830,70,25550,330,3429,1152,10078,330,3429,3515969,22789689,8272444,8330359,29687969,87190440,115047699,300172809,415220508,8827123,,35829931,,86057,.0535,115047641,300172866,415220507,306176775,109043732,95157779,13885953,2819247,16705200,,16705200,.205438
2160,727913,340187,DAVIE MEDICAL CENTER,329 NC HIGHWAY 801 N,BERMUDA RUN,NC,27006-7905,DAVIE,49180,1,1,2,07/01/2020,06/30/2021,377.76,335,5250,50,18250,77,1928,335,5250,77,1928,1095312,9047558,2577268,3076106,18095166,66120773,95118709,306385926,401504635,5253163,,23169754,,,,95118708,306385927,401504635,307362197,94142438,67960444,26181994,3934458,30116452,,30116452,.159756
2236,728312,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE,FAYETTEVILLE,NC,28302,CUMBERLAND,22180,2,1,9,10/01/2019,09/30/2020,3939.42,40332,178544,595,217230,10081,34354,25087,146224,10081,34354,14285231,129336234,42979239,43042178,300239791,536046303,1305694608,1168051343,2473745951,55766052,93294,299756147,16287578,4416925,.2236,1409121961,1335176627,2744298588,1964678766,779619822,809150757,-29530935,79759635,50228700,,50228700,.213567
2237,728313,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BLVD,WINSTON-SALEM,NC,27157-,FORSYTH,49180,1,1,1,07/01/2020,06/30/2021,8204.28,55810,225050,808,294961,9029,39025,21617,110770,9029,39025,42405615,148424228,77421773,84094586,571641188,1653212315,3190245340,3917684522,7107929862,177211199,,562313553,46941710,5110431,.1999,6835211595,314425203,7149636798,5163620245,1986016553,2031516522,-45499969,49361271,3861302,,3861302,.230804
2238,728319,340123,RANDOLPH HOSPITAL,373 NORTH FAYETTEVILLE STREET,ASHEBORO,NC,27204-,RANDOLPH,24660,1,1,2,10/01/2019,09/30/2020,611.22,2800,11992,145,53070,1343,4626,1800,10038,1343,4626,5319208,15910244,10597470,10597470,37546483,97295278,81629108,201836160,283465268,9473559,,37546483,635917,178521,.1276,81772127,202156414,283928541,197650583,86277958,106053873,-19775915,21983537,2207622,,2207622,.330619
2647,730365,344028,STRATEGIC BEHAVIORAL HEALTH- RALEIGH,3200 WATERFIELD ROAD,GARNER,NC,27529,WAKE,39580,1,4,1,01/01/2020,12/31/2020,96.1,8302,15277,56,20496,710,1149,8302,15277,710,1149,,,,,11834145,19927968,45675475,,45675475,,,,,,,47866925,,47866925,28627371,19239554,20536171,-1296617,866691,-429926,,-429926,
2730,730656,340060,UNC ROCKINGHAM HOSPITAL,117 EAST KINGS HWY,EDEN,NC,27288-,ROCKINGHAM,24660,1,1,13,07/01/2020,06/30/2021,263.39,1395,11520,108,39420,573,2633,859,8764,573,2633,337828,10228521,4380039,4419777,21572817,56890470,64347492,80521908,144869400,4868543,,21561621,1080446,110948,.1047,64207127,80614911,144822038,92378302,52443736,64303493,-11859757,4625772,-7233985,2722701,-9956686,.386153
2764,730842,344014,HOLLY HILLS HOSPITAL,3019 FALSTAFF ROAD,RALEIGH,NC,27610,WAKE,39580,1,4,4,01/01/2020,12/31/2020,423.41,520,77818,312,114192,67,8816,520,77818,67,8816,,,,,22256630,36569406,124739350,6193424,130932774,,,,,,,124739350,6193424,130932774,78964002,51968772,39768445,12200327,1738351,13938678,,13938678,
2817,731007,340004,HIGH POINT MEDICAL CENTER,HIGH POINT MEDICAL CENTER,HIGH POINT,NC,27260-,GUILFORD,24660,1,1,2,07/01/2020,06/30/2021,1517.95,9108,59981,288,105120,2155,13789,6465,49496,2155,13789,10398865,51088720,20797774,20797774,82427051,276883722,575659775,803606542,1379266317,22624100,,99763616,15998547,635042,.1045,575766328,803814852,1379581180,1047244691,332336489,318928743,13407746,38833771,52241517,-869203,53110720,.196824
2818,731009,340017,MARGARET R. PARDEE MEMORIAL HOSPITAL,800 NORTH JUSTICE STREET,HENDERSONVILLE,NC,28791-,HENDERSON,11700,1,1,9,07/01/2020,06/30/2021,1236.72,2258,30397,160,58400,735,7770,1560,27133,735,7770,4094727,17638813,9849238,12495095,96269447,222626011,256637780,609780874,866418654,20298796,,95585603,8608297,295877,.0463,257854509,683322786,941177295,660777264,280400031,283011801,-2611770,19374945,16763175,,16763175,.254336
3313,732338,340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW RD,MOORESVILLE,NC,28117,IREDELL,16740,1,1,4,10/01/2019,09/30/2020,413.29,1738,14063,123,45018,411,4718,1042,9603,411,4718,2254768,15812344,4363031,4363031,27455202,86322106,254817508,413250800,668068308,5433741,,27455202,881493,116320,.0388,254817508,413250800,668068308,553831764,114236544,89495890,24740654,2866984,27607638,,27607638,.124708
3314,732339,340144,DAVIS REGIONAL MEDICAL CENTER,218 OLD MOCKSVILLE RD,STATESVILLE,NC,28625,IREDELL,16740,1,1,4,10/01/2019,09/30/2020,294.2,2494,12012,132,48312,1090,2812,1546,9423,1090,2812,2076546,13122255,4195250,4195250,18865048,48954037,105936842,208937866,314874708,4335288,,18865048,1037253,210204,.2368,105936842,208937865,314874707,263455583,51419124,54284755,-2865631,3551192,685561,,685561,.151777
3594,732934,340039,IREDELL MEMORIAL HOSPITAL,557 BROOKDALE DRIVE,STATESVILLE,NC,28677-,IREDELL,16740,1,1,2,10/01/2019,09/30/2020,1160.42,3530,32366,155,56730,971,7114,2603,27227,971,7114,1505437,23676511,6809891,6812940,82027156,141643770,315163965,322569792,637733757,14005957,,82518565,986374,211109,.0418,317219295,343165270,660384565,478834656,181549909,178540600,3009309,10020989,13030298,,13030298,.21723
3595,732935,340049,NORTH CAROLINA SPECIALTY HOSPITAL,3916 BEN FRANKLIN BLVD,DURHAM,NC,27701,DURHAM,20500,1,1,4,01/01/2020,12/31/2020,188.97,56,2214,18,6588,24,1117,56,2214,24,1117,86868,1049062,479814,1163449,13477535,53589430,44912873,89997568,134910441,2938123,,13477535,498781,,,44912873,90492307,135405180,72628893,62776287,52444875,10331412,1802550,12133962,,12133962,.378723
3596,732936,340071,HARNETT HEALTH SYSTEM,800 TILGHMAN DRIVE,DUNN,NC,28334,HARNETT,99934,1,1,13,10/01/2019,09/30/2020,745.97,4076,20916,126,46116,1430,5439,2777,16715,1430,5439,2769811,42198274,11655038,11790387,46490546,80848664,127483795,254414496,381898291,10366098,,46490546,1886694,463467,.1694,127586591,270678274,398264865,296737132,101527733,104425466,-2897733,10369959,7472226,1,7472225,.203661
3790,733356,340133,MARTIN GENERAL HOSPITAL,310 SOUTH MCCASKEY RD,WILLIAMSTON,NC,27892,MARTIN,99934,2,1,4,05/01/2020,04/30/2021,153.61,412,4304,43,15695,66,828,262,3099,66,828,746782,9971832,2316549,2316549,9749306,24017436,55145519,105129665,160275184,1863542,,9749306,857327,76059,.0897,55124911,107134968,162259879,137895830,24364049,27714088,-3350039,2782024,-568015,1699,-569714,.147522
3791,733359,341326,MH ANGEL MEDICAL CENTER LLLP,120 RIVERVIEW STREET,FRANKLIN,NC,28744,MACON,99934,2,1,4,11/01/2019,10/31/2020,229.89,250,4258,37,13542,82,1297,205,2204,82,1297,3012870,1983746,4011626,4680083,15481559,40045788,18676577,144792205,163468782,,,,,,,18605783,145001531,163607314,126700119,36907195,48140717,-11233522,1100289,-10133233,,-10133233,.241594
3883,733563,340014,FORSYTH MEMORIAL HOSPITAL  INC,3333 SILAS CREEK PARKWAY,WINSTON SALEM,NC,27103,FORSYTH,49180,2,1,2,01/01/2020,12/31/2020,5465.27,33082,232187,908,332328,6366,37844,23603,187199,6366,37844,44203885,63313212,62438783,66259543,458659029,1134043334,1896117948,1978672791,3874790739,98068555,,457586803,8037762,2018257,.0845,1960283648,2143284234,4103567882,2683179943,1420387939,1390501430,29886509,64457145,94343654,,94343654,.286188
3884,733564,340015,ROWAN REGIONAL HOSPITAL,612 MOCKSVILLE AVENUE,SALISBURY,NC,28144,ROWAN,16740,1,1,2,01/01/2020,12/31/2020,960.2,5914,46828,189,69174,1635,9214,4385,40123,1635,9214,13204558,15452019,16800133,17972110,75558331,212089603,413907700,492232429,906140129,16813993,,75625253,2156407,407719,.0776,418951135,501120528,920071663,687562931,232508732,246273898,-13765166,14014223,249057,21649,227408,.227737
3885,733565,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT ROAD,KINSTON,NC,28501,LENOIR,99934,2,1,2,07/01/2020,06/30/2021,712.9,3947,27313,174,63486,1194,5387,2922,23131,1194,5387,3566632,23843005,13692860,14810520,48504374,114035671,132950016,166895446,299845462,11120052,,48378753,5359216,651150,.1343,133783657,167575989,301359646,187125962,114233684,122688483,-8454799,18103576,9648777,7169809,2478968,.370516
3886,733566,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE,CHARLOTTE,NC,28231-1726,MECKLENBURG,16740,1,1,2,01/01/2020,12/31/2020,3635.96,31446,163029,598,218868,6025,23028,24134,132872,6025,23028,32831505,44812303,44386808,50510970,315090154,904294868,1798359028,1695181808,3493540836,65168984,,315264922,8309298,2616557,.154,1834023848,1869408356,3703432204,2527231093,1176201111,1099147839,77053272,55378085,132431357,,132431357,.254739
3887,733567,340064,WRMC HOSPITAL OPERATING CORPORATION,1370 WEST D STREET,NORTH WILKESBORO,NC,28659-,WILKES,99934,2,1,8,07/01/2020,06/30/2021,505.92,2074,11936,77,28105,637,3256,1008,8611,637,3256,3038102,14478652,6471234,6471234,28894109,75044789,107673249,217183977,324857226,8754767,,34047691,2211508,150819,.1072,107673249,217188079,324861328,245764675,79096653,83458385,-4361732,4145830,-215902,-4288198,4072296,.226756
